"File Name","Line Name","Line Code","LineID","StudentFileID"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 10 2024.sfx","8","8","{D7520F8C-3DCE-44F8-96EC-8A420CD2A42C}","{FCFBFAE9-612A-4362-9306-77A04045A185}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 10 2024.sfx","9","9","{430F0802-CDB1-4F58-9A23-20F8547560BE}","{FCFBFAE9-612A-4362-9306-77A04045A185}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 10 2024.sfx","10","10","{6CA5C5F7-C1A8-418B-AEE6-391BA0662919}","{FCFBFAE9-612A-4362-9306-77A04045A185}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 10 2024.sfx","11","11","{8B47081D-13AC-4D06-87BE-20491A0F347F}","{FCFBFAE9-612A-4362-9306-77A04045A185}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 10 2024.sfx","12","12","{FC36D60E-6AFB-48BB-A438-1A555D64F2DA}","{FCFBFAE9-612A-4362-9306-77A04045A185}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 10 2024.sfx","13","13","{2F14BA59-B7D9-4BC7-8ACE-EE8768ED5639}","{FCFBFAE9-612A-4362-9306-77A04045A185}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 10 2024.sfx","14","14","{DAFC65B9-FB8A-4AE7-8795-DB77A0610157}","{FCFBFAE9-612A-4362-9306-77A04045A185}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 10 2024.sfx","15","15","{72740F27-5DA1-4AC0-B543-CAEED688BDD6}","{FCFBFAE9-612A-4362-9306-77A04045A185}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 10 2024.sfx","16","16","{45442892-AE7E-45B4-B7E2-3C1867C7E262}","{FCFBFAE9-612A-4362-9306-77A04045A185}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 10 2024.sfx","17","17","{72E83FF6-8AAC-43D5-8534-FDB691888AE3}","{FCFBFAE9-612A-4362-9306-77A04045A185}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 10 2024.sfx","18","18","{D0F30B6C-10F6-46AF-9E36-1245F2202914}","{FCFBFAE9-612A-4362-9306-77A04045A185}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 9 2024.sfx","1","1","{88CE7663-E3F6-4D73-AD8E-CCC4B1740249}","{97F0F60D-A20E-4DA7-BC28-EFC7ED6C049A}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 9 2024.sfx","2","2","{CC84A84F-C28A-46C6-BCB8-1C670CFBC609}","{97F0F60D-A20E-4DA7-BC28-EFC7ED6C049A}"
