"Default Code","Name","Code","MRCGID","Class Group Code","ClassGroupID"
"12 I","6","","{61A4698A-023F-4DC7-89FC-94512FA5CBC0}","12 I","{BEA072A6-7C97-459F-98A4-26D321A2D9C5}"
"12 I","6","","{61A4698A-023F-4DC7-89FC-94512FA5CBC0}","11 I","{A4CFFF96-ECCC-4254-A13E-C13E38A63BAD}"
"12 I","6","","{61A4698A-023F-4DC7-89FC-94512FA5CBC0}","10 I","{7FFCC4A2-A6EF-4179-882F-4CEDF7D9CF15}"
"12 H","6","","{88F032FA-723F-4806-92A7-CCFBBE44D51A}","12 H","{8427AB40-4037-495F-8022-54879FFCA7B4}"
"12 H","6","","{88F032FA-723F-4806-92A7-CCFBBE44D51A}","11 H","{B93179D7-1B53-4897-9C10-219C85030089}"
"12 H","6","","{88F032FA-723F-4806-92A7-CCFBBE44D51A}","10 H","{261BB3E2-AE30-4B4C-A484-A58AEC375D3A}"
"12 G","BL6Yr12&BL2Yr9","BL6Yr12&BL2Yr9","{B317E0E7-9FAF-4680-ABC3-FF83F40924CB}","12 G","{44488D76-B2CB-407F-AB17-D4AE42DED1BA}"
"12 G","BL6Yr12&BL2Yr9","BL6Yr12&BL2Yr9","{B317E0E7-9FAF-4680-ABC3-FF83F40924CB}","11 G","{333B3504-7E6B-4039-821E-580FA8BFD22A}"
"12 G","BL6Yr12&BL2Yr9","BL6Yr12&BL2Yr9","{B317E0E7-9FAF-4680-ABC3-FF83F40924CB}","10 G","{C8A0092E-8E20-4D0C-9EC7-912187AC1AF7}"
"12 G","BL6Yr12&BL2Yr9","BL6Yr12&BL2Yr9","{B317E0E7-9FAF-4680-ABC3-FF83F40924CB}","09A I","{5DBF20DE-A85A-4118-A48F-D923DAEE03DB}"
"12 G","BL6Yr12&BL2Yr9","BL6Yr12&BL2Yr9","{B317E0E7-9FAF-4680-ABC3-FF83F40924CB}","09B I","{8CB95C3A-6AFD-4E2E-B2EE-97E5A481886E}"
"12 G","BL6Yr12&BL2Yr9","BL6Yr12&BL2Yr9","{B317E0E7-9FAF-4680-ABC3-FF83F40924CB}","09C J","{07F39EDF-AAFF-418F-B9FB-340117E2AAA6}"
"12 G","BL6Yr12&BL2Yr9","BL6Yr12&BL2Yr9","{B317E0E7-9FAF-4680-ABC3-FF83F40924CB}","09D I","{104F2F28-E54D-47FC-AF49-53B0B6275CE9}"
"12 G","BL6Yr12&BL2Yr9","BL6Yr12&BL2Yr9","{B317E0E7-9FAF-4680-ABC3-FF83F40924CB}","09E I","{3E4B9499-6B47-4265-A75B-DEA9DC04CC6C}"
"12 G","BL6Yr12&BL2Yr9","BL6Yr12&BL2Yr9","{B317E0E7-9FAF-4680-ABC3-FF83F40924CB}","09F I","{14EA8BD7-4109-4C5E-9542-A886498F87EC}"
"12 E","4","","{49977605-3E58-4943-AC44-87F6E482EF2C}","12 E","{6FF38F8E-C1BA-47D2-8C41-C222D5403DAB}"
"12 E","4","","{49977605-3E58-4943-AC44-87F6E482EF2C}","11 E","{9FE71594-6B4B-4B13-84E1-9D913D323628}"
"12 E","4","","{49977605-3E58-4943-AC44-87F6E482EF2C}","10 E","{7BA4A570-5DBA-4761-85CF-DDDAAB03F2E9}"
